Patient Id ,Name,Age,Address,Adhaar card number,Date of Admission,Insurance details,Policy number ,Total Bill,Insurance claimed,Net paid in INR
00003560-909,Steve Smith ,38,"Grf, 158, Lohar Chawl, Kanji Gokuldas Bldg, Kalbadevi",5485 5000 8000,Jan 27 2022,Max life,,5690,YES ,1235
00003560-915,Mitchel sagar,24,"9/3, Os;mglablr-95, Koramangala",3977 8800 0234,FEB 6 2022,sbi insurance,KU9887651281,2300,NO ,2345
00003560-911,kevin Emanuel ,32,"1st Floor,shop-112, 52/54, Bibijan Street, Mandvi",2094 7051 9541,Dec 24 2021,kotak ,CU 0897826,4490,NO ,3459
00003560-912,Rick price,23,"4/3, 2, S J P Road",222 4398 0198,Dec 22 2021,life med,HU -293-2832073,8945,YES ,1235
00003560-913,Visha long ,45,"4, Gola Market",5485 5020 80045,Nov 8 2021,india first ,hyd 0232973826,4356,NO ,2345
00003560-914,Peter White ,43,"47kokilabldg,mapt,blr-53, Chickpet",3987 8087 2034,Nov 7 2021,Birla Sun life,INdi2838297329,9044,NO ,4321
00003560-916,Vihaan Visht ,18,"Opp S D Eye Hospital, Humayunnagar",3750 8430 7653,Sept 28 2021,Aviva,kar 0e-2930280,8076,YES ,3456
00003560-917,Reyansh Singh,22,"4675/21, Ansari Road",5177 5394 4789,Feb 5 2022,IDBI federal,KOLKAATA 083797,7987,YES ,1234
00003560-927,Sandra Yang,35,"227, Unique Indl Estate, Off Veer Savarkar Marg, Prabhadevi",1234 5678 9123,JAN 10 2022,Reliance,VIZAG- e27375261,6098,YES ,3114
00003560-919,Mia Sharma,38,"ÿ4 Tj Flr, 50, Gaya Bldg, Masjid Bunder (west)",3977 8800 0234,Jan 09 2022,LIC india,NI -932039228,5689,YES ,4321
00003560-920,Mia Sharma,27,"273, Shamji Velji Building, S B Singh Road, Near Sher E Punjab Hotel / Next To, Fort",5485 5009 9000,Sept 18 2021,PNB met life,JK - i297328682d,4983,NO ,3210
00003560-921,Ajit Motala,41,"al-baraka tower, 252, new elephant road, 1205",2094 7051 9841,Dec 18 2021,Star Union ,DEL 023923,3298,NO ,1200
00003560-922,Anila Suruchi,38,"bangabandhu sheikh mujib medical university (bsmmu), shahbagh, 1000",2094 7051 9541,Feb 5 2022,Dai ichi life,TN -8923263826,30987,YES ,5690
00003560-923,Rohana Srihari,34,"jessore cantonment, jessore, jessore, 7400",222 4898 0198,Jan 27 2022,exide life,q79172108201,12098,NO ,2300
00003560-924,Savitri Himanshu,31,"house # 15a, road # 6, dhanmondi r/a, 1205",5485 5020 8005,FEB 6 2022,Tokio ,AA808e92e826,11098,NO ,4490
00003560-925,Rajan Virani,29,"road #3, d.o.h.s., baridhara, 1206",3987 8087 2034,Dec 24 2021,Bajaj,1367927310-,34876,YES ,8945
00003560-926,Priya Raviraj,28,"493/3, malibagh, baganbari, 1217",3750 8430 7653,Dec 22 2021,HDFC edgar,8.38298E+11,43256,YES ,4356
00003560-927,Shanta Raja,22,"133/2, new baily road (3rd floor), 1000",5177 5394 4789,Nov 8 2021,Royal Sundaram,TN2083108301821,87653,YES ,9044
00003560-928,Sabeena F,30,"holy family red crescent hospital, eskaton, 1000",1234 5478 9123,Nov 7 2021,SBI general,KERALA9e28e0797,34567,YES ,8076
00003560-929,Nilesh Mallya,33,"61, green road, dhanmondi, 1205",3977 8600 0234,Sept 28 2021,Sriram,CU 0897826,76543,NO ,7987
00003560-930,Mehul Choksi,32,"25, topkhana road, segunbagicha, 1000",5485 5009 9000,Feb 5 2022,IFFICO tokio,HU -293-2832073,30987,NO ,6098
00003560-931,Nirab Baidya,25,"beani bazar, sylhet, sylhet, 3170",2094 7051 9541,JAN 10 2022,TATA AIG,hyd 0232973826,12098,YES ,5689
00003560-932,Sunny Kalara,22,"nayatola, shah saheb bari lane, moghbazar, 1217",5177 5394 4789,Jan 09 2022,ALLIANZ,INdi2838297329,11098,NO ,4983
00003560-933,Jatin Mehta,25,"road #7, block-f, banani, 1213",1234 5478 9841 ,Sept 18 2021,ICICI Lombard,347569709-09,34876,NO ,8099
00003560-934,Vinay Mittal,41,"green corner, (1st floor), green road, 1205",3977 8600 0234,Jan 27 2022,United India Insurance,e6586970-987,43256,YES ,6900
00003560-928,Alaka Goyal,39,"115/2, central road, hatirpool, 1205",5485 5009 9000,FEB 6 2022,PNB met life,75645353AA9-90786,8945,YES ,8945
00003560-929,Ritesh Jain ,31,"1, eskaton road, maghbazar, 1217",2094 7051 9123,Dec 24 2021,exide life,4.65877E+12,4356,YES ,4356
00003560-930,Saviya Saith,29,"Bsd Aadabh Htl, Gandhi Bhavan, Nampally",2094 7051 9541,Dec 22 2021,LIC india,e57577980-07564,9044,No ,9044
00003560-931,Nitin Chethan ,26,"949 Wadi Yamuna Mill Rd, Pratapnagar",222 4898 9187,Nov 8 2021,Max life,989775534,8076,No ,8076
